step,timestamp,action,price,shares,symbol,reward,transaction_cost,slippage,time_penalty,status
641,2023-07-03 08:42:18.788148605,SELL,193.74,1.2789956175138187e-13,AAPL,-0.5422820144143106,0.37800601441431053,0.0,0.164276,filled
642,2023-07-03 08:42:21.574282065,SELL,193.74,1.0340186390430016e-13,AAPL,-0.7103446469384442,0.5447646469384443,0.0,0.16558,filled
643,2023-07-03 08:42:21.574282065,SELL,193.74,1.296452078926541e-13,AAPL,-1.5017128251534575,1.326132825153438,0.010000000000019327,0.16558,filled
644,2023-07-03 08:42:35.323211350,SELL,193.76,8.319287470655532e-14,AAPL,-0.34386815721184766,0.14826615721184652,0.030000000000001137,0.165602,filled
645,2023-07-03 08:43:22.001047613,SELL,193.76,2.5698705370144453e-13,AAPL,-0.21202587567100353,0.04688587567100352,0.0,0.16514,filled
646,2023-07-03 08:43:22.001047613,SELL,193.76,1.9094797042525135e-13,AAPL,-0.2314466412576719,0.0663066412576719,0.0,0.16514,filled
647,2023-07-03 08:43:45.358663537,SELL,193.76,2.1101285228309062e-13,AAPL,-0.21155087567100353,0.04688587567100352,0.0,0.164665,filled
648,2023-07-03 08:43:54.182072346,SELL,193.76,2.368882427021003e-13,AAPL,-0.34798221564614806,0.1815882156461481,0.0,0.166394,filled
649,2023-07-03 08:43:54.182072346,SELL,193.76,1.7132318436091058e-13,AAPL,-0.3446601572118476,0.14826615721184652,0.030000000000001137,0.166394,filled
650,2023-07-03 08:44:23.658106968,SELL,193.8,7.73381222476778e-14,AAPL,-0.33689728251536427,0.1326132825153438,0.040000000000020464,0.164284,filled
651,2023-07-03 08:44:52.268753552,SELL,193.8,1.809192914880919e-13,AAPL,-0.497107948527817,0.2890239485277965,0.040000000000020464,0.168084,filled
652,2023-07-03 08:44:52.268753552,SELL,193.8,1.9295656689876447e-13,AAPL,-0.31292400518498786,0.10484000518496742,0.040000000000020464,0.168084,filled
653,2023-07-03 08:44:52.268753552,SELL,193.8,2.302940542422279e-13,AAPL,-0.356350157211867,0.14826615721184652,0.040000000000020464,0.168084,filled
654,2023-07-03 08:44:52.268753552,SELL,193.8,1.5832927011552726e-13,AAPL,-0.4177640103699553,0.20968001036993483,0.040000000000020464,0.168084,filled
655,2023-07-03 08:44:52.268753552,SELL,193.8,8.793981981863117e-14,AAPL,-0.31292400518498786,0.10484000518496742,0.040000000000020464,0.168084,filled
656,2023-07-03 08:44:52.268753552,SELL,193.8,1.2450610200305482e-13,AAPL,-0.4814732855853396,0.2733892855853191,0.040000000000020464,0.168084,filled
657,2023-07-03 08:44:52.268773137,SELL,193.8,1.4331007426538964e-13,AAPL,-0.5859426545862398,0.38090265458621936,0.040000000000020464,0.16504,filled
658,2023-07-03 08:44:55.463827379,SELL,193.82,2.099156184144373e-13,AAPL,-0.6933127567100374,0.46885875671003513,0.060000000000002274,0.164454,filled
659,2023-07-03 08:44:55.463840257,SELL,193.82,1.9299955705046408e-13,AAPL,-0.3308160051849697,0.10484000518496742,0.060000000000002274,0.165976,filled
660,2023-07-03 08:44:55.463840257,SELL,193.82,1.4298677940720413e-13,AAPL,-0.6829629878415555,0.4569869878415532,0.060000000000002274,0.165976,filled
661,2023-07-03 08:45:04.438348214,SELL,193.82,2.924186356300519e-13,AAPL,-0.23169387567098534,0.04688587567100352,0.01999999999998181,0.164808,filled
662,2023-07-03 08:45:10.778573412,SELL,193.82,2.0337980458730712e-13,AAPL,-0.35341142882681453,0.16904942882683274,0.01999999999998181,0.164362,filled
663,2023-07-03 08:45:15.379082918,SELL,193.8,1.162006064346964e-13,AAPL,-0.2698230051849674,0.10484000518496742,0.0,0.164983,filled
664,2023-07-03 08:45:44.920212959,SELL,193.82,8.405280084724983e-14,AAPL,-0.6205497238001121,0.4348017238001302,0.01999999999998181,0.165748,filled
665,2023-07-03 08:45:44.920212959,SELL,193.82,9.639219994593182e-14,AAPL,-0.36117888303975676,0.17543088303977492,0.01999999999998181,0.165748,filled
666,2023-07-03 08:45:47.856592708,SELL,193.82,1.1885914686657552e-13,AAPL,-0.32545162701299235,0.14065762701301054,0.01999999999998181,0.164794,filled
667,2023-07-03 08:45:48.560630831,SELL,193.83,9.861233875662929e-14,AAPL,-0.4289703783550187,0.23442937835501756,0.030000000000001137,0.164541,filled
